O*NET-SOC Code,Element Name,Scale ID,Data Value
15-2051.00,Data Mining,IM,3.0
15-2051.00,Machine Learning,IM,4.0
15-2051.00,Statistical Analysis,IM,4.5
15-2051.00,Data Visualization,IM,3.5
15-2051.00,Programming,IM,4.0
15-2051.00,Data Cleaning,IM,3.0
15-2051.00,Data Wrangling,IM,3.5
15-2051.00,Big Data Technologies,IM,4.0
15-2051.00,Communication Skills,IM,4.0
15-2051.00,Problem Solving,IM,4.5
11-1011.00,Leadership,IM,4.5
11-1011.00,Strategic Planning,IM,4.0
11-1011.00,Decision Making,IM,4.5
11-1011.00,Financial Management,IM,4.0
11-1011.00,Project Management,IM,3.5
13-1111.00,Analytical Thinking,IM,4.0
13-1111.00,Research Skills,IM,4.5
13-1111.00,Communication Skills,IM,4.0
13-1111.00,Problem Solving,IM,4.5
13-1111.00,Time Management,IM,3.5